Timestamp for sample frequency every 1 min,Temperature_Celsius,Relative_Humidity
2020-03-20 18:45:00,22.8,56.7
2020-03-20 18:46:00,22.8,56.6
2020-03-20 18:47:00,22.8,56.7
2020-03-20 18:48:00,22.8,56.8
2020-03-20 18:49:00,22.8,56.9
2020-03-20 18:50:00,22.7,57
2020-03-20 18:51:00,22.7,56.9
2020-03-20 18:52:00,22.7,56.9
2020-03-20 18:53:00,22.7,56.9
2020-03-20 18:54:00,22.7,57
2020-03-20 18:55:00,22.7,57.2
2020-03-20 18:56:00,22.7,57.2
2020-03-20 18:57:00,22.6,57
2020-03-20 18:58:00,22.6,57.1
2020-03-20 18:59:00,22.6,57.1
2020-03-20 19:00:00,22.6,57.3
2020-03-20 19:01:00,22.6,57.3
2020-03-20 19:02:00,22.6,57.4
2020-03-20 19:03:00,22.5,57.5
2020-03-20 19:04:00,22.5,57.6
2020-03-20 19:05:00,22.5,57.5
2020-03-20 19:06:00,22.5,57.7
2020-03-20 19:07:00,22.5,57.7
2020-03-20 19:08:00,22.5,57.7
2020-03-20 19:09:00,22.4,58.3
2020-03-20 19:10:00,22.4,58.3
2020-03-20 19:11:00,22.3,58.4
2020-03-20 19:12:00,22.3,58.5
2020-03-20 19:13:00,22.3,58.8
2020-03-20 19:14:00,22.3,59
2020-03-20 19:15:00,22.3,59.2
2020-03-20 19:16:00,22.2,59.7
2020-03-20 19:17:00,22.1,60
2020-03-20 19:18:00,22,60.2
2020-03-20 19:19:00,22,59.9
2020-03-20 19:20:00,21.9,60.3
2020-03-20 19:21:00,21.8,60.7
2020-03-20 19:22:00,21.8,60.8
2020-03-20 19:23:00,21.8,61.2
2020-03-20 19:24:00,21.7,61.5
2020-03-20 19:25:00,21.6,62
2020-03-20 19:26:00,21.6,61.5
2020-03-20 19:27:00,21.6,61.7
2020-03-20 19:28:00,21.5,61.9
2020-03-20 19:29:00,21.5,62.4
2020-03-20 19:30:00,21.4,62.5
2020-03-20 19:31:00,21.4,62.8
2020-03-20 19:32:00,21.3,63.8
2020-03-20 19:33:00,21.3,63.7
2020-03-20 19:34:00,21.3,64
2020-03-20 19:35:00,21.2,64.1
2020-03-20 19:36:00,21.2,64.3
2020-03-20 19:37:00,21.2,64.7
2020-03-20 19:38:00,21.1,64.8
2020-03-20 19:39:00,21,64.9
