Timestamp for sample frequency every 1 min,Temperature_Celsius,Relative_Humidity
2019-11-09 15:00:00,18.6,25.8
2019-11-09 15:01:00,17.7,26.7
2019-11-09 15:02:00,16.6,26.2
2019-11-09 15:03:00,15.4,26.7
2019-11-09 15:04:00,14.5,27.7
2019-11-09 15:05:00,14,28.7
2019-11-09 15:06:00,13.3,28.7
2019-11-09 15:07:00,12.7,29.4
2019-11-09 15:08:00,12.1,29.9
2019-11-09 15:09:00,11.6,30.1
2019-11-09 15:10:00,11.1,31
2019-11-09 15:11:00,10.7,31.3
2019-11-09 15:12:00,10.4,32
2019-11-09 15:13:00,10.1,32.2
2019-11-09 15:14:00,9.8,32.7
2019-11-09 15:15:00,9.6,32.8
2019-11-09 15:16:00,9.3,33.3
2019-11-09 15:17:00,9.2,33.6
2019-11-09 15:18:00,8.9,34.1
2019-11-09 15:19:00,8.8,34.3
2019-11-09 15:20:00,8.6,34
2019-11-09 15:21:00,8.4,34.4
2019-11-09 15:22:00,8.3,34.7
2019-11-09 15:23:00,8.1,34.5
2019-11-09 15:24:00,8,34.7
2019-11-09 15:25:00,7.9,35.2
2019-11-09 15:26:00,7.8,35.2
2019-11-09 15:27:00,7.7,35.5
2019-11-09 15:28:00,7.7,35.7
2019-11-09 15:29:00,7.6,35.8
2019-11-09 15:30:00,7.6,36.4
2019-11-09 15:31:00,7.6,36.5
2019-11-09 15:32:00,7.6,36.8
2019-11-09 15:33:00,7.6,36.9
2019-11-09 15:34:00,7.6,37.6
2019-11-09 15:35:00,7.6,37.8
2019-11-09 15:36:00,7.6,37.7
2019-11-09 15:37:00,7.6,37.9
2019-11-09 15:38:00,7.6,38.1
2019-11-09 15:39:00,7.6,38.2
2019-11-09 15:40:00,7.6,38.2
2019-11-09 15:41:00,7.5,38.2
2019-11-09 15:42:00,7.5,37.8
2019-11-09 15:43:00,7.5,38.1
2019-11-09 15:44:00,7.4,38.4
2019-11-09 15:45:00,7.4,38.1
2019-11-09 15:46:00,7.4,38.7
2019-11-09 15:47:00,7.4,38.5
2019-11-09 15:48:00,7.4,38.4
2019-11-09 15:49:00,7.4,38.5
2019-11-09 15:50:00,7.4,38.8
2019-11-09 15:51:00,7.4,38.7
2019-11-09 15:52:00,7.4,38.7
2019-11-09 15:53:00,7.4,38.6
2019-11-09 15:54:00,7.4,38.6
2019-11-09 15:55:00,7.4,39.2
2019-11-09 15:56:00,7.4,39.2
2019-11-09 15:57:00,7.4,39.2
2019-11-09 15:58:00,7.4,38.7
2019-11-09 15:59:00,7.4,39
2019-11-09 16:00:00,7.4,39.2
2019-11-09 16:01:00,7.3,39
2019-11-09 16:02:00,7.3,39.1
2019-11-09 16:03:00,7.3,39.1
2019-11-09 16:04:00,7.3,39.3
2019-11-09 16:05:00,7.3,39.6
2019-11-09 16:06:00,7.3,39.6
2019-11-09 16:07:00,7.3,39.6
2019-11-09 16:08:00,7.3,39.4
2019-11-09 16:09:00,7.3,39.5
2019-11-09 16:10:00,7.3,39.5
2019-11-09 16:11:00,7.2,39.5
2019-11-09 16:12:00,7.2,39.7
2019-11-09 16:13:00,7.2,39.8
2019-11-09 16:14:00,7.1,39.7
2019-11-09 16:15:00,7.1,39.5
2019-11-09 16:16:00,7,39.5
2019-11-09 16:17:00,7,39.6
2019-11-09 16:18:00,7,39.9
2019-11-09 16:19:00,7,40.3
2019-11-09 16:20:00,7,40.4
2019-11-09 16:21:00,7,40.4
2019-11-09 16:22:00,7,40.2
2019-11-09 16:23:00,7,40.2
2019-11-09 16:24:00,7,40.1
2019-11-09 16:25:00,6.9,40
2019-11-09 16:26:00,6.9,40
2019-11-09 16:27:00,6.9,40
2019-11-09 16:28:00,6.8,40.2
2019-11-09 16:29:00,6.8,40.4
2019-11-09 16:30:00,6.8,40.7
2019-11-09 16:31:00,6.8,40.5
2019-11-09 16:32:00,6.8,40.3
2019-11-09 16:33:00,6.8,40.5
2019-11-09 16:34:00,6.8,40.5
2019-11-09 16:35:00,6.7,40.5
2019-11-09 16:36:00,6.7,40.8
2019-11-09 16:37:00,6.7,40.8
2019-11-09 16:38:00,6.7,40.7
2019-11-09 16:39:00,6.7,41
2019-11-09 16:40:00,6.7,41.1
2019-11-09 16:41:00,6.7,41.1
2019-11-09 16:42:00,6.6,41
2019-11-09 16:43:00,6.6,41.3
2019-11-09 16:44:00,6.6,41.3
2019-11-09 16:45:00,6.6,41.2
2019-11-09 16:46:00,6.5,41.3
2019-11-09 16:47:00,6.5,41.4
2019-11-09 16:48:00,6.5,41.5
2019-11-09 16:49:00,6.5,41.3
2019-11-09 16:50:00,6.5,41.4
2019-11-09 16:51:00,6.4,41.2
2019-11-09 16:52:00,6.4,41.1
2019-11-09 16:53:00,6.4,41.3
2019-11-09 16:54:00,6.3,41.3
2019-11-09 16:55:00,6.3,41.6
2019-11-09 16:56:00,6.3,41.7
2019-11-09 16:57:00,6.3,41.8
2019-11-09 16:58:00,6.3,42
2019-11-09 16:59:00,6.3,42.3
2019-11-09 17:00:00,6.2,41.8
2019-11-09 17:01:00,6.2,41.9
2019-11-09 17:02:00,6.2,41.8
2019-11-09 17:03:00,6.1,42
2019-11-09 17:04:00,6.1,42.3
2019-11-09 17:05:00,6.1,42
2019-11-09 17:06:00,6.1,42.2
2019-11-09 17:07:00,6,42.2
