Timestamp for sample frequency every 1 min,Temperature_Celsius,Relative_Humidity
2020-03-20 18:46:00,24.8,59.3
2020-03-20 18:47:00,24.8,59.3
2020-03-20 18:48:00,24.7,59.3
2020-03-20 18:49:00,24.7,59.3
2020-03-20 18:50:00,24.7,59.3
2020-03-20 18:51:00,24.7,59.3
2020-03-20 18:52:00,24.7,59.3
2020-03-20 18:53:00,24.7,59.4
2020-03-20 18:54:00,24.6,59.4
2020-03-20 18:55:00,24.6,59.4
2020-03-20 18:56:00,24.6,59.4
2020-03-20 18:57:00,24.6,59.4
2020-03-20 18:58:00,24.6,59.4
2020-03-20 18:59:00,24.6,59.4
2020-03-20 19:00:00,24.6,59.4
2020-03-20 19:01:00,24.5,59.5
2020-03-20 19:02:00,24.5,59.4
2020-03-20 19:03:00,24.5,59.4
2020-03-20 19:04:00,24.5,59.4
2020-03-20 19:05:00,24.5,59.5
2020-03-20 19:06:00,24.5,59.5
2020-03-20 19:07:00,24.4,59.5
2020-03-20 19:08:00,24.4,59.5
2020-03-20 19:09:00,24.4,59.5
2020-03-20 19:10:00,24.4,59.5
2020-03-20 19:11:00,24.4,59.5
2020-03-20 19:12:00,24.4,59.5
2020-03-20 19:13:00,24.3,59.5
2020-03-20 19:14:00,24.3,59.6
2020-03-20 19:15:00,24.3,59.6
2020-03-20 19:16:00,24.3,59.6
2020-03-20 19:17:00,24.3,59.6
2020-03-20 19:18:00,24.2,59.6
2020-03-20 19:19:00,24.2,59.7
2020-03-20 19:20:00,24.2,59.7
2020-03-20 19:21:00,24.2,59.7
2020-03-20 19:22:00,24.2,59.8
2020-03-20 19:23:00,24.2,59.8
2020-03-20 19:24:00,24.2,59.7
2020-03-20 19:25:00,24.2,59.8
2020-03-20 19:26:00,24.1,59.8
2020-03-20 19:27:00,24.1,59.8
2020-03-20 19:28:00,24.1,59.9
2020-03-20 19:29:00,24.1,59.9
2020-03-20 19:30:00,24.1,59.8
2020-03-20 19:31:00,24.1,59.8
2020-03-20 19:32:00,24,59.8
2020-03-20 19:33:00,24,59.8
2020-03-20 19:34:00,24,59.9
2020-03-20 19:35:00,24,59.9
2020-03-20 19:36:00,24,59.9
2020-03-20 19:37:00,24,59.9
2020-03-20 19:38:00,23.9,60
2020-03-20 19:39:00,23.9,59.9
2020-03-20 19:40:00,23.9,59.9
2020-03-20 19:41:00,23.9,59.9
