Timestamp for sample frequency every 1 min,Temperature_Celsius,Relative_Humidity
2020-03-09 17:38:00,18.6,28.2
2020-03-09 17:39:00,18.6,28.1
2020-03-09 17:40:00,18.5,28.2
2020-03-09 17:41:00,18.5,28.4
2020-03-09 17:42:00,18.4,28.5
2020-03-09 17:43:00,18.4,28.5
2020-03-09 17:44:00,18.4,28.8
2020-03-09 17:45:00,18.3,28.6
2020-03-09 17:46:00,18.3,28.7
2020-03-09 17:47:00,18.3,28.9
2020-03-09 17:48:00,18.3,29.1
2020-03-09 17:49:00,18.3,29.1
2020-03-09 17:50:00,18.3,29
2020-03-09 17:51:00,18.3,29.3
2020-03-09 17:52:00,18.3,29.4
2020-03-09 17:53:00,18.3,29.1
2020-03-09 17:54:00,18.3,29
2020-03-09 17:55:00,18.3,29.1
2020-03-09 17:56:00,18.3,29
2020-03-09 17:57:00,18.3,28.7
2020-03-09 17:58:00,18.2,29.2
2020-03-09 17:59:00,18.2,29.2
2020-03-09 18:00:00,18.2,29.3
2020-03-09 18:01:00,18.2,29.6
2020-03-09 18:02:00,18.1,29.5
2020-03-09 18:03:00,18.1,29.7
2020-03-09 18:04:00,18.1,30
2020-03-09 18:05:00,18.1,30.2
2020-03-09 18:06:00,18,30.2
2020-03-09 18:07:00,18,30.5
2020-03-09 18:08:00,18,30.6
2020-03-09 18:09:00,18,30.8
2020-03-09 18:10:00,18,31.1
2020-03-09 18:11:00,18,31.4
2020-03-09 18:12:00,18,31.6
2020-03-09 18:13:00,18,32
2020-03-09 18:14:00,18,32
2020-03-09 18:15:00,18,32.3
2020-03-09 18:16:00,18,32.3
2020-03-09 18:17:00,18,32.7
2020-03-09 18:18:00,18,32.9
2020-03-09 18:19:00,17.9,33.1
2020-03-09 18:20:00,17.9,33.4
2020-03-09 18:21:00,17.9,33.5
2020-03-09 18:22:00,17.8,33.4
2020-03-09 18:23:00,17.8,33.7
2020-03-09 18:24:00,17.8,33.8
2020-03-09 18:25:00,17.8,34
2020-03-09 18:26:00,17.8,34.2
2020-03-09 18:27:00,17.8,34.3
2020-03-09 18:28:00,17.7,34.3
2020-03-09 18:29:00,17.7,34.5
2020-03-09 18:30:00,17.7,34.4
2020-03-09 18:31:00,17.7,34.6
2020-03-09 18:32:00,17.6,34.7
2020-03-09 18:33:00,17.6,35.1
2020-03-09 18:34:00,17.5,35.2
2020-03-09 18:35:00,17.5,35.2
2020-03-09 18:36:00,17.5,35.2
2020-03-09 18:37:00,17.5,35.4
2020-03-09 18:38:00,17.4,35.7
2020-03-09 18:39:00,17.4,35.6
2020-03-09 18:40:00,17.3,35.7
2020-03-09 18:41:00,17.3,35.8
2020-03-09 18:42:00,17.3,36
2020-03-09 18:43:00,17.3,35.9
2020-03-09 18:44:00,17.3,36
2020-03-09 18:45:00,17.3,36.2
2020-03-09 18:46:00,17.2,36.1
2020-03-09 18:47:00,17.2,36.2
2020-03-09 18:48:00,17.2,36.4
2020-03-09 18:49:00,17.2,36.5
2020-03-09 18:50:00,17.1,36.5
2020-03-09 18:51:00,17.1,36.6
2020-03-09 18:52:00,17,36.7
2020-03-09 18:53:00,17,36.9
2020-03-09 18:54:00,17,37
2020-03-09 18:55:00,17,36.9
2020-03-09 18:56:00,16.9,37.1
2020-03-09 18:57:00,16.9,37.1
2020-03-09 18:58:00,16.9,37.3
2020-03-09 18:59:00,16.8,37.4
2020-03-09 19:00:00,16.8,37.5
2020-03-09 19:01:00,16.8,37.8
2020-03-09 19:02:00,16.8,37.7
2020-03-09 19:03:00,16.8,37.9
2020-03-09 19:04:00,16.8,38
2020-03-09 19:05:00,16.8,38.1
2020-03-09 19:06:00,16.7,38.1
2020-03-09 19:07:00,16.7,38.4
2020-03-09 19:08:00,16.7,38.6
2020-03-09 19:09:00,16.6,38.7
2020-03-09 19:10:00,16.6,38.8
2020-03-09 19:11:00,16.6,38.8
2020-03-09 19:12:00,16.5,38.9
2020-03-09 19:13:00,16.5,39
2020-03-09 19:14:00,16.5,39.3
2020-03-09 19:15:00,16.4,39.3
2020-03-09 19:16:00,16.4,39.3
2020-03-09 19:17:00,16.4,39.4
2020-03-09 19:18:00,16.3,39.5
2020-03-09 19:19:00,16.3,39.7
2020-03-09 19:20:00,16.3,39.8
2020-03-09 19:21:00,16.3,39.7
2020-03-09 19:22:00,16.3,40
2020-03-09 19:23:00,16.2,39.9
2020-03-09 19:24:00,16.2,40.1
2020-03-09 19:25:00,16.2,40.3
2020-03-09 19:26:00,16.2,40.5
2020-03-09 19:27:00,16.2,40.7
2020-03-09 19:28:00,16.2,40.6
2020-03-09 19:29:00,16.2,40.8
2020-03-09 19:30:00,16.2,40.6
2020-03-09 19:31:00,16.2,40.6
2020-03-09 19:32:00,16.1,40.9
2020-03-09 19:33:00,16.1,40.7
2020-03-09 19:34:00,16,40.9
2020-03-09 19:35:00,16,41
2020-03-09 19:36:00,16,40.9
2020-03-09 19:37:00,16,41
2020-03-09 19:38:00,16,41.1
2020-03-09 19:39:00,15.9,41.2
2020-03-09 19:40:00,15.9,41.2
2020-03-09 19:41:00,15.9,41.3
2020-03-09 19:42:00,15.8,41.4
2020-03-09 19:43:00,15.8,41.4
2020-03-09 19:44:00,15.8,41.4
2020-03-09 19:45:00,15.8,41.4
2020-03-09 19:46:00,15.8,41.4
2020-03-09 19:47:00,15.8,41.4
2020-03-09 19:48:00,15.8,41.6
2020-03-09 19:49:00,15.7,41.5
2020-03-09 19:50:00,15.7,41.6
2020-03-09 19:51:00,15.7,41.7
2020-03-09 19:52:00,15.7,41.7
2020-03-09 19:53:00,15.7,41.8
2020-03-09 19:54:00,15.7,41.9
2020-03-09 19:55:00,15.6,42.1
2020-03-09 19:56:00,15.6,42.1
2020-03-09 19:57:00,15.6,42.2
2020-03-09 19:58:00,15.6,42.3
2020-03-09 19:59:00,15.5,42.4
2020-03-09 20:00:00,15.5,42.4
2020-03-09 20:01:00,15.5,42.5
2020-03-09 20:02:00,15.5,42.4
2020-03-09 20:03:00,15.5,42.5
2020-03-09 20:04:00,15.4,42.5
2020-03-09 20:05:00,15.4,42.9
2020-03-09 20:06:00,15.4,42.8
2020-03-09 20:07:00,15.4,42.8
2020-03-09 20:08:00,15.3,42.8
2020-03-09 20:09:00,15.3,43.2
2020-03-09 20:10:00,15.3,43.1
2020-03-09 20:11:00,15.3,43.4
2020-03-09 20:12:00,15.3,43.3
2020-03-09 20:13:00,15.3,43.5
2020-03-09 20:14:00,15.3,43.6
2020-03-09 20:15:00,15.3,43.7
2020-03-09 20:16:00,15.3,43.8
2020-03-09 20:17:00,15.3,43.9
2020-03-09 20:18:00,15.3,44
2020-03-09 20:19:00,15.3,44
2020-03-09 20:20:00,15.2,44
2020-03-09 20:21:00,15.2,44.1
2020-03-09 20:22:00,15.2,44.3
2020-03-09 20:23:00,15.1,44.3
2020-03-09 20:24:00,15.1,44.3
2020-03-09 20:25:00,15.1,44.5
2020-03-09 20:26:00,15.1,44.6
2020-03-09 20:27:00,15.1,44.6
2020-03-09 20:28:00,15.1,44.7
2020-03-09 20:29:00,15.1,44.9
2020-03-09 20:30:00,15.1,45.2
2020-03-09 20:31:00,15.1,45
2020-03-09 20:32:00,15.1,45.1
2020-03-09 20:33:00,15,45.2
2020-03-09 20:34:00,15,45.6
2020-03-09 20:35:00,15.1,45.8
2020-03-09 20:36:00,15.1,45.6
2020-03-09 20:37:00,15,45.7
2020-03-09 20:38:00,15,45.9
2020-03-09 20:39:00,15,45.7
2020-03-09 20:40:00,15,45.7
2020-03-09 20:41:00,15,45.7
2020-03-09 20:42:00,15,45.8
2020-03-09 20:43:00,15,45.7
2020-03-09 20:44:00,15,45.9
2020-03-09 20:45:00,15,46.1
2020-03-09 20:46:00,15,46.2
2020-03-09 20:47:00,14.9,46.3
2020-03-09 20:48:00,14.9,46.5
2020-03-09 20:49:00,14.9,46.5
2020-03-09 20:50:00,14.8,46.7
2020-03-09 20:51:00,14.8,46.6
2020-03-09 20:52:00,14.8,46.7
2020-03-09 20:53:00,14.8,46.8
2020-03-09 20:54:00,14.8,46.8
2020-03-09 20:55:00,14.8,47.1
2020-03-09 20:56:00,14.8,47.2
2020-03-09 20:57:00,14.7,47
2020-03-09 20:58:00,14.7,47.4
2020-03-09 20:59:00,14.7,47.3
2020-03-09 21:00:00,14.7,47.5
2020-03-09 21:01:00,14.7,47.6
2020-03-09 21:02:00,14.7,47.6
2020-03-09 21:03:00,14.7,47.6
2020-03-09 21:04:00,14.7,47.9
2020-03-09 21:05:00,14.7,48
2020-03-09 21:06:00,14.7,47.8
2020-03-09 21:07:00,14.7,47.7
2020-03-09 21:08:00,14.6,48
2020-03-09 21:09:00,14.6,47.9
2020-03-09 21:10:00,14.6,48
2020-03-09 21:11:00,14.6,48.1
2020-03-09 21:12:00,14.6,48.3
2020-03-09 21:13:00,14.6,48.3
2020-03-09 21:14:00,14.6,48.2
2020-03-09 21:15:00,14.6,48.4
2020-03-09 21:16:00,14.5,48.4
