Timestamp for sample frequency every 1 min,Temperature_Celsius,Relative_Humidity
2020-03-12 18:13:00,19.6,47.9
2020-03-12 18:14:00,19.6,47.8
2020-03-12 18:15:00,19.5,47.9
2020-03-12 18:16:00,19.5,48
2020-03-12 18:17:00,19.5,48.1
2020-03-12 18:18:00,19.5,48.2
2020-03-12 18:19:00,19.5,48.3
2020-03-12 18:20:00,19.5,48.4
2020-03-12 18:21:00,19.5,48.5
2020-03-12 18:22:00,19.4,48.6
2020-03-12 18:23:00,19.4,48.7
2020-03-12 18:24:00,19.4,48.9
2020-03-12 18:25:00,19.4,49.2
2020-03-12 18:26:00,19.4,49.2
2020-03-12 18:27:00,19.4,49.3
2020-03-12 18:28:00,19.4,49.3
2020-03-12 18:29:00,19.3,49.1
2020-03-12 18:30:00,19.3,49.2
2020-03-12 18:31:00,19.3,49.4
2020-03-12 18:32:00,19.3,49.4
2020-03-12 18:33:00,19.3,49.4
2020-03-12 18:34:00,19.3,49.6
2020-03-12 18:35:00,19.3,49.7
2020-03-12 18:36:00,19.3,49.6
2020-03-12 18:37:00,19.3,49.6
2020-03-12 18:38:00,19.3,49.7
2020-03-12 18:39:00,19.3,49.6
2020-03-12 18:40:00,19.2,49.8
2020-03-12 18:41:00,19.2,49.9
2020-03-12 18:42:00,19.2,49.9
2020-03-12 18:43:00,19.2,49.9
2020-03-12 18:44:00,19.2,50
2020-03-12 18:45:00,19.2,50.1
2020-03-12 18:46:00,19.2,50.1
2020-03-12 18:47:00,19.1,50
2020-03-12 18:48:00,19.1,50.1
2020-03-12 18:49:00,19.1,50.1
2020-03-12 18:50:00,19.1,50.3
2020-03-12 18:51:00,19.1,50.3
2020-03-12 18:52:00,19.1,50.4
2020-03-12 18:53:00,19.1,50.1
2020-03-12 18:54:00,19,50.1
2020-03-12 18:55:00,19,50.1
2020-03-12 18:56:00,19,50.1
2020-03-12 18:57:00,19,50.2
2020-03-12 18:58:00,19,50.2
2020-03-12 18:59:00,19,50.3
2020-03-12 19:00:00,19,50.4
2020-03-12 19:01:00,18.9,50.4
2020-03-12 19:02:00,18.9,50.4
2020-03-12 19:03:00,18.9,50.3
2020-03-12 19:04:00,18.9,50.3
2020-03-12 19:05:00,18.8,50.5
2020-03-12 19:06:00,18.8,50.4
2020-03-12 19:07:00,18.8,50.4
2020-03-12 19:08:00,18.8,50.6
2020-03-12 19:09:00,18.8,50.7
2020-03-12 19:10:00,18.7,50.6
2020-03-12 19:11:00,18.7,50.8
2020-03-12 19:12:00,18.7,50.9
2020-03-12 19:13:00,18.7,50.9
2020-03-12 19:14:00,18.6,51
2020-03-12 19:15:00,18.6,51.1
2020-03-12 19:16:00,18.6,51
2020-03-12 19:17:00,18.6,51.2
2020-03-12 19:18:00,18.5,51.3
2020-03-12 19:19:00,18.5,51.2
2020-03-12 19:20:00,18.5,51.5
2020-03-12 19:21:00,18.5,51.5
2020-03-12 19:22:00,18.4,51.5
2020-03-12 19:23:00,18.4,51.7
2020-03-12 19:24:00,18.4,51.7
2020-03-12 19:25:00,18.3,51.9
2020-03-12 19:26:00,18.3,51.8
2020-03-12 19:27:00,18.3,51.8
2020-03-12 19:28:00,18.3,52
2020-03-12 19:29:00,18.3,52.1
2020-03-12 19:30:00,18.2,52.3
2020-03-12 19:31:00,18.2,52.3
2020-03-12 19:32:00,18.2,52.2
2020-03-12 19:33:00,18.2,52.3
2020-03-12 19:34:00,18.2,53
2020-03-12 19:35:00,18.1,53.6
2020-03-12 19:36:00,18.1,53.8
2020-03-12 19:37:00,18,54.3
2020-03-12 19:38:00,17.9,55.8
2020-03-12 19:39:00,17.9,55.6
2020-03-12 19:40:00,17.8,55.7
2020-03-12 19:41:00,17.8,56.2
2020-03-12 19:42:00,17.8,56.6
2020-03-12 19:43:00,17.8,56.8
2020-03-12 19:44:00,17.7,57.3
2020-03-12 19:45:00,17.7,57.5
2020-03-12 19:46:00,17.6,57.7
2020-03-12 19:47:00,17.6,57.6
2020-03-12 19:48:00,17.6,57.7
2020-03-12 19:49:00,17.5,58.1
2020-03-12 19:50:00,17.5,58.3
2020-03-12 19:51:00,17.5,58.5
2020-03-12 19:52:00,17.4,58.5
2020-03-12 19:53:00,17.4,58.7
2020-03-12 19:54:00,17.4,58.8
2020-03-12 19:55:00,17.3,58.9
2020-03-12 19:56:00,17.3,58.9
2020-03-12 19:57:00,17.3,58.9
2020-03-12 19:58:00,17.3,59
2020-03-12 19:59:00,17.3,59
2020-03-12 20:00:00,17.3,59
2020-03-12 20:01:00,17.3,59.1
2020-03-12 20:02:00,17.3,59.2
2020-03-12 20:03:00,17.3,59.2
2020-03-12 20:04:00,17.2,59.2
2020-03-12 20:05:00,17.2,59.4
2020-03-12 20:06:00,17.2,59.4
2020-03-12 20:07:00,17.2,59.4
2020-03-12 20:08:00,17.2,59.6
2020-03-12 20:09:00,17.1,59.6
2020-03-12 20:10:00,17.1,59.7
2020-03-12 20:11:00,17.1,59.9
2020-03-12 20:12:00,17.1,59.8
2020-03-12 20:13:00,17.1,59.9
2020-03-12 20:14:00,17.1,59.8
2020-03-12 20:15:00,17.1,59.9
2020-03-12 20:16:00,17,59.9
2020-03-12 20:17:00,17,59.9
2020-03-12 20:18:00,17,60
2020-03-12 20:19:00,17,59.9
2020-03-12 20:20:00,17,59.9
2020-03-12 20:21:00,17,60
2020-03-12 20:22:00,17,60
