Timestamp for sample frequency every 1 min,Temperature_Celsius,Relative_Humidity
2019-11-10 20:47:00,8.3,63.5
2019-11-10 20:48:00,8.3,63.3
2019-11-10 20:49:00,8.3,63.4
2019-11-10 20:50:00,8.2,63.5
2019-11-10 20:51:00,8.2,63.8
2019-11-10 20:52:00,8.2,63.7
2019-11-10 20:53:00,8.2,64
2019-11-10 20:54:00,8.1,64
2019-11-10 20:55:00,8,64.3
2019-11-10 20:56:00,8,64
2019-11-10 20:57:00,8,64.2
2019-11-10 20:58:00,7.9,64.3
2019-11-10 20:59:00,7.9,64.4
2019-11-10 21:00:00,7.9,64.4
2019-11-10 21:01:00,7.8,64.4
2019-11-10 21:02:00,7.7,65
2019-11-10 21:03:00,7.7,64.8
2019-11-10 21:04:00,7.7,65
2019-11-10 21:05:00,7.6,65.4
2019-11-10 21:06:00,7.6,65.7
2019-11-10 21:07:00,7.6,65.5
2019-11-10 21:08:00,7.5,65.6
2019-11-10 21:09:00,7.5,65.4
2019-11-10 21:10:00,7.5,65.6
2019-11-10 21:11:00,7.5,65.6
2019-11-10 21:12:00,7.5,65.6
2019-11-10 21:13:00,7.4,65.6
2019-11-10 21:14:00,7.4,65.6
2019-11-10 21:15:00,7.4,65.6
2019-11-10 21:16:00,7.4,65.7
2019-11-10 21:17:00,7.4,65.9
2019-11-10 21:18:00,7.4,65.7
2019-11-10 21:19:00,7.4,65.6
2019-11-10 21:20:00,7.5,65.7
2019-11-10 21:21:00,7.5,65.4
2019-11-10 21:22:00,7.4,65.6
2019-11-10 21:23:00,7.4,65.8
2019-11-10 21:24:00,7.4,66.1
2019-11-10 21:25:00,7.4,66
2019-11-10 21:26:00,7.3,66.1
2019-11-10 21:27:00,7.3,65.7
2019-11-10 21:28:00,7.3,65.9
2019-11-10 21:29:00,7.3,66.1
2019-11-10 21:30:00,7.3,66
2019-11-10 21:31:00,7.3,65.7
2019-11-10 21:32:00,7.3,66
2019-11-10 21:33:00,7.3,66.2
2019-11-10 21:34:00,7.3,66.2
2019-11-10 21:35:00,7.2,66.2
2019-11-10 21:36:00,7.1,66.4
2019-11-10 21:37:00,7.1,66.3
2019-11-10 21:38:00,7.1,66.3
2019-11-10 21:39:00,7,66.6
