Timestamp for sample frequency every 1 min,Temperature_Celsius,Relative_Humidity
2019-11-09 16:58:00,6.3,42
2019-11-09 16:59:00,6.3,42.3
2019-11-09 17:00:00,6.2,41.8
2019-11-09 17:01:00,6.2,41.9
2019-11-09 17:02:00,6.2,41.8
2019-11-09 17:03:00,6.1,42
2019-11-09 17:04:00,6.1,42.3
2019-11-09 17:05:00,6.1,42
2019-11-09 17:06:00,6.1,42.2
2019-11-09 17:07:00,6,42.2
2019-11-09 17:08:00,6.1,42.6
2019-11-09 17:09:00,6,42.6
2019-11-09 17:10:00,6,42.6
2019-11-09 17:11:00,6,42.3
2019-11-09 17:12:00,6,42.3
2019-11-09 17:13:00,6,42.2
2019-11-09 17:14:00,5.9,42.3
2019-11-09 17:15:00,5.9,42.2
2019-11-09 17:16:00,5.8,42.1
2019-11-09 17:17:00,5.8,42
2019-11-09 17:18:00,5.8,42.1
2019-11-09 17:19:00,5.8,42.1
2019-11-09 17:20:00,5.7,42.2
2019-11-09 17:21:00,5.7,42.4
2019-11-09 17:22:00,5.7,42.4
2019-11-09 17:23:00,5.7,42.6
2019-11-09 17:24:00,5.6,42.5
2019-11-09 17:25:00,5.6,42.4
2019-11-09 17:26:00,5.6,42.4
2019-11-09 17:27:00,5.5,42.5
2019-11-09 17:28:00,5.5,42.5
2019-11-09 17:29:00,5.5,42.6
2019-11-09 17:30:00,5.5,42.7
2019-11-09 17:31:00,5.4,42.8
2019-11-09 17:32:00,5.4,43
2019-11-09 17:33:00,5.4,43.1
2019-11-09 17:34:00,5.3,43.3
2019-11-09 17:35:00,5.3,43.5
2019-11-09 17:36:00,5.3,43.6
2019-11-09 17:37:00,5.2,43.7
2019-11-09 17:38:00,5.2,43.8
2019-11-09 17:39:00,5.1,44.2
2019-11-09 17:40:00,5,44.6
2019-11-09 17:41:00,5,44.8
2019-11-09 17:42:00,5,44.9
2019-11-09 17:43:00,4.9,45.3
2019-11-09 17:44:00,4.9,45.4
2019-11-09 17:45:00,4.8,45.5
2019-11-09 17:46:00,4.8,45.5
2019-11-09 17:47:00,4.8,46.2
2019-11-09 17:48:00,4.8,46.2
2019-11-09 17:49:00,4.8,46.2
2019-11-09 17:50:00,4.8,46.6
2019-11-09 17:51:00,4.7,46.5
2019-11-09 17:52:00,4.7,46.6
2019-11-09 17:53:00,4.7,46.6
2019-11-09 17:54:00,4.7,46.7
2019-11-09 17:55:00,4.7,46.8
2019-11-09 17:56:00,4.6,47
2019-11-09 17:57:00,4.6,47
2019-11-09 17:58:00,4.6,47.1
2019-11-09 17:59:00,4.6,47.3
2019-11-09 18:00:00,4.5,47.4
2019-11-09 18:01:00,4.5,47.7
2019-11-09 18:02:00,4.4,47.9
2019-11-09 18:03:00,4.4,48
2019-11-09 18:04:00,4.4,48.1
2019-11-09 18:05:00,4.3,48.5
2019-11-09 18:06:00,4.3,48.6
2019-11-09 18:07:00,4.2,48.9
2019-11-09 18:08:00,4.2,49.2
2019-11-09 18:09:00,4.2,49.2
2019-11-09 18:10:00,4.2,49.3
2019-11-09 18:11:00,4.1,49.3
2019-11-09 18:12:00,4.1,49.6
2019-11-09 18:13:00,4,49.7
2019-11-09 18:14:00,4,50
2019-11-09 18:15:00,3.9,50.5
2019-11-09 18:16:00,3.9,50.7
2019-11-09 18:17:00,3.8,51.1
2019-11-09 18:18:00,3.8,51
2019-11-09 18:19:00,3.8,51.2
2019-11-09 18:20:00,3.7,51.2
2019-11-09 18:21:00,3.6,51.1
2019-11-09 18:22:00,3.6,51
2019-11-09 18:23:00,3.5,50.6
2019-11-09 18:24:00,3.5,51
2019-11-09 18:25:00,3.5,50.8
2019-11-09 18:26:00,3.4,51.2
2019-11-09 18:27:00,3.4,51
2019-11-09 18:28:00,3.3,51.1
2019-11-09 18:29:00,3.3,51.5
2019-11-09 18:30:00,3.3,51.7
2019-11-09 18:31:00,3.3,51.9
2019-11-09 18:32:00,3.2,51.9
2019-11-09 18:33:00,3.2,52.1
2019-11-09 18:34:00,3.1,52.2
2019-11-09 18:35:00,3.1,52.3
2019-11-09 18:36:00,3.1,52.6
2019-11-09 18:37:00,3,51.9
2019-11-09 18:38:00,3,51.9
2019-11-09 18:39:00,3,52.5
2019-11-09 18:40:00,3,52.6
2019-11-09 18:41:00,2.9,53
2019-11-09 18:42:00,2.9,53
