Timestamp for sample frequency every 1 min,Temperature_Celsius,Relative_Humidity
2020-03-10 19:06:00,18.2,56.6
2020-03-10 19:07:00,18.1,56.6
2020-03-10 19:08:00,18.1,56.7
2020-03-10 19:09:00,18.1,56.6
2020-03-10 19:10:00,18.1,56.6
2020-03-10 19:11:00,18.1,56.6
2020-03-10 19:12:00,18.1,56.7
2020-03-10 19:13:00,18,56.7
2020-03-10 19:14:00,18,56.8
2020-03-10 19:15:00,18,56.8
2020-03-10 19:16:00,18,56.7
2020-03-10 19:17:00,18,56.7
2020-03-10 19:18:00,17.9,56.7
2020-03-10 19:19:00,17.9,56.7
2020-03-10 19:20:00,17.9,56.6
2020-03-10 19:21:00,17.9,56.7
2020-03-10 19:22:00,17.9,56.5
2020-03-10 19:23:00,17.9,56.6
2020-03-10 19:24:00,17.8,56.6
2020-03-10 19:25:00,17.8,56.6
2020-03-10 19:26:00,17.8,56.5
2020-03-10 19:27:00,17.8,56.5
2020-03-10 19:28:00,17.8,56.5
2020-03-10 19:29:00,17.7,56.5
2020-03-10 19:30:00,17.7,56.6
2020-03-10 19:31:00,17.7,56.5
2020-03-10 19:32:00,17.7,56.4
2020-03-10 19:33:00,17.7,56.4
2020-03-10 19:34:00,17.7,56.3
2020-03-10 19:35:00,17.7,56.3
2020-03-10 19:36:00,17.6,56.3
2020-03-10 19:37:00,17.6,56.4
2020-03-10 19:38:00,17.6,56.4
2020-03-10 19:39:00,17.6,56.6
2020-03-10 19:40:00,17.5,56.7
2020-03-10 19:41:00,17.5,56.7
2020-03-10 19:42:00,17.5,56.6
2020-03-10 19:43:00,17.5,56.7
2020-03-10 19:44:00,17.4,56.6
2020-03-10 19:45:00,17.4,56.5
2020-03-10 19:46:00,17.4,56.5
2020-03-10 19:47:00,17.4,56.5
2020-03-10 19:48:00,17.4,56.5
2020-03-10 19:49:00,17.3,56.4
2020-03-10 19:50:00,17.3,56.4
2020-03-10 19:51:00,17.3,56.5
2020-03-10 19:52:00,17.3,56.4
2020-03-10 19:53:00,17.3,56.5
2020-03-10 19:54:00,17.2,56.5
2020-03-10 19:55:00,17.2,56.4
2020-03-10 19:56:00,17.2,56.3
2020-03-10 19:57:00,17.2,56.4
2020-03-10 19:58:00,17.2,56.3
2020-03-10 19:59:00,17.2,56.4
2020-03-10 20:00:00,17.1,56.4
2020-03-10 20:01:00,17.1,56.6
2020-03-10 20:02:00,17.1,56.7
2020-03-10 20:03:00,17.1,56.7
2020-03-10 20:04:00,17,56.8
2020-03-10 20:05:00,17,56.8
2020-03-10 20:06:00,17,56.8
2020-03-10 20:07:00,17,56.8
2020-03-10 20:08:00,17,56.9
2020-03-10 20:09:00,16.9,56.9
2020-03-10 20:10:00,16.9,56.9
