Timestamp for sample frequency every 1 min,Temperature_Celsius,Relative_Humidity
2020-05-14 14:23:00,22.5,69.5
2020-05-14 14:24:00,22.6,68.4
2020-05-14 14:25:00,22.7,68.9
2020-05-14 14:26:00,22.7,68.4
2020-05-14 14:27:00,22.7,69.2
2020-05-14 14:28:00,22.8,67.7
2020-05-14 14:29:00,22.8,67.7
2020-05-14 14:30:00,22.8,66.8
2020-05-14 14:31:00,22.8,65.8
2020-05-14 14:32:00,22.8,67.3
2020-05-14 14:33:00,22.8,66.5
2020-05-14 14:34:00,22.8,66.3
2020-05-14 14:35:00,22.9,66.5
2020-05-14 14:36:00,22.9,67.7
2020-05-14 14:37:00,23,67.4
2020-05-14 14:38:00,23,67.5
2020-05-14 14:39:00,23.1,67
2020-05-14 14:40:00,23.1,66.9
2020-05-14 14:41:00,23.2,66.6
2020-05-14 14:42:00,23.2,66.3
2020-05-14 14:43:00,23.2,65.8
2020-05-14 14:44:00,23.2,65.6
2020-05-14 14:45:00,23.2,65.9
2020-05-14 14:46:00,23.3,64.3
2020-05-14 14:47:00,23.3,65.2
2020-05-14 14:48:00,23.3,65.2
2020-05-14 14:49:00,23.3,65.9
2020-05-14 14:50:00,23.4,66
2020-05-14 14:51:00,23.4,66
2020-05-14 14:52:00,23.4,65.4
2020-05-14 14:53:00,23.5,65.6
2020-05-14 14:54:00,23.5,65.6
2020-05-14 14:55:00,23.5,65.8
2020-05-14 14:56:00,23.6,65.4
2020-05-14 14:57:00,23.6,65.9
2020-05-14 14:58:00,23.7,66.8
2020-05-14 14:59:00,23.7,65.4
2020-05-14 15:00:00,23.7,62.7
2020-05-14 15:01:00,23.5,63
2020-05-14 15:02:00,23.4,63.9
2020-05-14 15:03:00,23.4,64.1
2020-05-14 15:04:00,23.5,64.2
2020-05-14 15:05:00,23.6,63.8
2020-05-14 15:06:00,23.6,64.4
2020-05-14 15:07:00,23.6,63.5
2020-05-14 15:08:00,23.5,63.2
2020-05-14 15:09:00,23.4,63.3
2020-05-14 15:10:00,23.3,63.5
2020-05-14 15:11:00,23.3,63.1
2020-05-14 15:12:00,23.2,63
2020-05-14 15:13:00,23.1,63.1
2020-05-14 15:14:00,23.1,62.7
2020-05-14 15:15:00,23,61
2020-05-14 15:16:00,22.9,62.8
2020-05-14 15:17:00,22.8,61.4
2020-05-14 15:18:00,22.8,61.6
2020-05-14 15:19:00,22.7,62.7
2020-05-14 15:20:00,22.7,63.1
2020-05-14 15:21:00,22.7,63.2
2020-05-14 15:22:00,22.6,62.9
2020-05-14 15:23:00,22.6,63.5
2020-05-14 15:24:00,22.6,63.6
2020-05-14 15:25:00,22.6,63.5
2020-05-14 15:26:00,22.6,63.7
2020-05-14 15:27:00,22.5,63.8
2020-05-14 15:28:00,22.5,63.6
2020-05-14 15:29:00,22.5,63.7
2020-05-14 15:30:00,22.5,64.2
2020-05-14 15:31:00,22.5,64.4
2020-05-14 15:32:00,22.4,63.8
2020-05-14 15:33:00,22.4,64.3
2020-05-14 15:34:00,22.4,64
2020-05-14 15:35:00,22.3,64.4
2020-05-14 15:36:00,22.3,64.4
2020-05-14 15:37:00,22.3,64.1
